index,Team Name,In-game Name,Open ID
233,BLACK CAT,alwaysurjupiter,2875041780008050
234,BLACK CAT,֯₊†༙ׅ྇ԃe͜͡Ⴆ༙྇bi͠e͙݁˖Იᰍ⋆༙ˊ,3116566648652914
235,BLACK CAT,kaiza555+,3397665480180850
236,Black Magic Team,KIMD0KJA,3511691023418482
237,Black Magic Team,໒ྀིʏᴜᴍïᴋ͜͡ø♡ˎˊ˗-,4207301644977266
238,Black Magic Team,ׂ˳ׅ˖໒ིྀρׅz͜͡υɾɑ֯໒꒱ﾟ·,3480095566267506
239,Black Magic Team,ᴍᴀɴʏᴍɪɴᴇ,5332745479980146
240,Black Magic Team,ᴊᴇɴɴʏᴋɪᴛᴛᴇʀ,3846717934077042
241,BLACK ROSES,Virelle_gxgg,943447280387186
242,BLACK ROSES,เเมลงวันตอมขี้,1458166630122610
243,BLACK ROSES,汪琴艾。,3313154995092466
244,BLACK ROSES,หยองแหยง•_•,1475285564458098
245,BLACK ROSES,alanp,2751074058568818
246,BLACK ROSES,nnh2k_,3213559224009842
247,BlitZ,TeuqouB,2564217211389042
248,BlitZ,ᴢ?ɪ?ᴀ?,3281964362826866
249,BlitZ,เบาลูกป้าจะเสร็จ•ω•,3612834349122674
250,BlitZ,ʙᴀɪʏᴏᴋ?,3586720679527538
251,BlitZ,ImNotYourMom,2932847006647410
252,BLUE FATE,†༙ׅ྇ˊçֺ͜ҽℓֺ͚ɪ͛иeׅ༡˳ׂ,3664304297673842
253,BLUE FATE,magter⁂,2558876084012146
254,BLUE FATE,꒰˳ྀིȶsִυᴋi͜͡кཾִσ⸝♡ཾ,3792475382809714
255,BLUE FATE,คิงแอ็คคุง,4238427474297970
256,BLUE FATE,KrATa–!,560208892068978
257,BLUE FATE,˳ֹ★༷྇ᴍ͟ɪʜ͜͡ᴀ༙྇ʀᴜֹ໒꒱ִྀ༙྇⇀,592965198349426
258,Blue Phoenix,֯ ⁎ ⸝ׅɴᴀ͜͡ᴏᴍׂɪ♡ﾟ·,3480283672413298
259,Blue Phoenix,DarkYue༉‧₊˚✧,420034514191474
260,Blue Phoenix,･ﾟSEEGA❀･ﾟ,5763742294017138
261,Blue Phoenix,Sukunaシ.,1797064715601010
262,Blue Phoenix,ᴡᴀɴᴀs♡´･ᴗ･`,394051841098866
263,Breakout star,ᴍᴜʀᴀᴊɪϟ,1375202357478514
264,Breakout star,Areyouz.音韵,3851532256871538
